time,pair,d1,d2,sum,prob,in_playlist
E,98,9,8,17,0.01473495058400718,TRUE
E,31,3,1,4,0.01365678346810422,TRUE
E,35,3,5,8,0.01895777178796046,FALSE
E,26,2,6,8,0.01455525606469002,FALSE
E,44,4,4,8,0.01401617250673854,FALSE
E,62,6,2,8,0.01293800539083557,FALSE
E,18,1,8,9,0.01230907457322551,FALSE
E,90,9,0,9,0.01176999101527403,FALSE
E,36,3,6,9,0.01123090745732255,FALSE
E,45,4,5,9,0.01123090745732255,FALSE
E,71,7,1,8,0.01060197663971248,FALSE
E,27,2,7,9,0.01033243486073674,FALSE
E,09,0,9,9,0.00988319856244384,FALSE
E,17,1,7,8,0.00979335130278526,FALSE
E,08,0,8,8,0.00844564240790655,FALSE
E,63,6,3,9,0.00808625336927223,FALSE
E,72,7,2,9,0.00763701707097933,FALSE
E,54,5,4,9,0.00736747529200359,FALSE
E,80,8,0,8,0.00700808625336927,FALSE
E,81,8,1,9,0.00700808625336927,FALSE
E,53,5,3,8,0.00539083557951482,FALSE
